Symbol,Company Name,Market,Industry Group,Sector,
BR,BANGKOK RANCH PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
BRI,BRITANIA PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
BROCK,BAAN ROCK GARDEN PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
BROOK,THE BROOKER GROUP PUBLIC COMPANY LIMITED,mai,FINCIAL,-,
BRR,BURIRAM SUGAR PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
BSBM,BANGSAPHAN BARMILL PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
BSM,BUILDERSMART PUBLIC COMPANY LIMITED,mai,PROPCON,-,
BTG,BETAGRO PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
BTNC,BOUTIQUE NEWCITY PUBLIC COMPANY LIMITED,SET,CONSUMP,FASHION,
BTS,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,SERVICE,TRANS,
BTW,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED,mai,PROPCON,-,
BUI,BANGKOK UNION INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
BVG,BlueVenture Group Public Company Limited,mai,TECH,-,
BWG,BETTER WORLD GREEN PUBLIC COMPANY LIMITED,SET,SERVICE,PROF,
B-WORK,BUALUANG OFFICE LEASEHOLD REAL ESTATE INVESTMENT TRUST,SET,PROPCON,PF&REIT,
BYD,BEYOND SECURITIES PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
CAZ,CAZ (THAILAND) PUBLIC COMPANY LIMITED,mai,PROPCON,-,
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",SET,TECH,ETRON,
CCP,CHONBURI CONCRETE PRODUCT PUBLIC COMPANY LIMITED,SET,PROPCON,CONMAT,
CEN,CAPITAL ENGINEERING NETWORK PUBLIC COMPANY LIMITED,SET,INDUS,STEEL,
CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,SET,SERVICE,TOURISM,
CEYE,Chamni's Eye Public Company Limited,mai,SERVICE,-,
CFRESH,SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,SET,AGRO,FOOD,
CGD,COUNTRY GROUP DEVELOPMENT PUBLIC COMPANY LIMITED,SET,PROPCON,PROP,
CGH,COUNTRY GROUP HOLDINGS PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
CH,Chin Huay Public Company Limited,SET,AGRO,FOOD,
CHARAN,CHARAN INSURANCE PUBLIC COMPANY LIMITED,SET,FINCIAL,INSUR,
CHASE,Chase Asia Public Company Limited,SET,FINCIAL,FIN,
CHAYO,CHAYO GROUP PUBLIC COMPANY LIMITED,SET,FINCIAL,FIN,
CHEWA,CHEWATHAI PUBLIC COMPANY LIMITED,mai,PROPCON,-,
